文案,标准答案,评审结果,完全匹配
全网第一的学习工具，百分百提升成绩！立即购买！,absolute_claim、urgency_pressure,absolute_claim,False
这款软件很好用，欢迎大家看看,missing_benefit、missing_cta,missing_benefit、missing_cta,True
帮助销售团队减少重复录入，立即咨询获取行业方案,正常,正常,True
最后一天！错过不再！立即抢购！！！,excessive_punctuation、missing_benefit、urgency_pressure,excessive_punctuation、missing_benefit、missing_cta、urgency_pressure,False
免费试用智能报表工具，帮助运营团队提升分析效率,正常,正常,True
绝对有效的获客方案，永久有效,absolute_claim、missing_cta,absolute_claim、missing_benefit、missing_cta,False
专为小微企业设计的进销存工具，节省对账时间，了解详情,正常,正常,True
我们的产品功能丰富、界面清晰、操作简单、支持多端协作、数据导入、自动报表以及权限管理，能够覆盖很多业务场景，也适合不同规模的团队使用，现在就来体验我们的产品和服务吧,missing_cta、too_long,missing_benefit、missing_cta、too_long,False
领取新人优惠，降低首次采购成本,正常,正常,True
专业企业服务平台,missing_benefit、missing_cta,missing_benefit、missing_cta,True
100%解决皮肤问题，立即购买,absolute_claim、missing_benefit,absolute_claim,False
查看方案，帮助门店减少库存积压,正常,正常,True
